Internals 	 minnodeR: 3 	 TSnode: 14 	 minnodeP: 27
Translation-X 1-64	-0.5314757389745828	-0.26051000159201493	-0.5483574122595375
Translation-Y 1-64	-0.5324709374418368	-0.6952737299942601	-0.46799567586348
Translation-Z 1-64	0.1352749485941489	0.2918886882934097	0.11284889558742525
Rotation-A 1-64	-0.15485686720349692	-1.0049353490677957	-0.08915191519977154
Rotation-B 1-64	0.11325979373872881	0.7703805479910654	0.11684237340582464
Rotation-C 1-64	-0.006165362272272815	0.7641806003391635	0.01393398272486848
Distance 1-2	2.8408730754265044	2.8351760982257987	2.8587028383414763
Distance 1-3	1.8298788654030973	1.8651020956631206	1.8070640263894167
Distance 1-4	2.581407095017396	2.2530898236370667	2.027144727500179
Distance 1-6	2.0904689181124545	2.0488260960778595	2.5142464373767814
Distance 1-8	2.1767251504278846	2.179698869776574	2.1793340363239393
Distance 1-11	2.3282570699230387	2.2730580840074492	2.2362631597193343
Distance 1-12	2.4120570512793864	2.321132469002132	2.2876395414989408
Distance 1-13	2.7838751464348936	2.618824414135766	2.549093678136764
Distance 1-15	2.759022083749004	2.6105308751472096	2.5343862976670946
Distance 1-5	2.765038854034008	2.373236537700152	2.5271093934373465
Distance 1-35	2.66567702536242	2.016449324152225	1.8893675560982013
Distance 2-3	1.7677721339680847	1.7686365063787781	1.7656697107111963
Distance 2-8	1.909106626916222	1.9032923243754347	1.9069190569589656
Distance 2-9	1.908517877528309	1.9161881483346455	1.9077557329896708
Distance 2-10	1.9077403249823588	1.9070529465165524	1.9032865899379525
Distance 3-27	1.4638707143616156	1.4664436978143625	1.464678274019108
Distance 4-5	1.3270451884776222	1.374653918541504	1.5333905153080072
Distance 4-33	1.0894335564676894	1.0907824510095137	1.095325371914516
Distance 4-34	1.0897949060723782	1.0884700358111385	1.099271271431678
Distance 5-31	1.0824354445815159	1.0851344806703853	1.099814993437971
Distance 5-32	1.0874478928687326	1.0874082998177885	1.1020979757980411
Distance 5-6	3.5228045604357683	2.460640084292219	1.546114006062327
Distance 6-7	1.537205357319731	1.5133002027558948	1.528395134384582
Distance 6-35	1.0939261563414704	1.1318645752992733	1.1465710869016854
Distance 6-36	1.1041822747570273	1.1016430211239903	1.0982183652024862
Distance 7-37	1.0922695354410312	1.0907766031273143	1.0896379428650034
Distance 7-38	1.0948057037463566	1.0955323050160561	1.0892382355013912
Distance 7-39	1.0925528238984443	1.0886179770091868	1.0896543730642185
Distance 8-11	1.4242504336648896	1.4246673175887736	1.429890556271185
Distance 8-12	1.4245760623679644	1.4238356039368179	1.4132556669298202
Distance 9-43	1.0889175897494754	1.0916082974817805	1.089023356735149
Distance 9-44	1.0887807603736466	1.0906407835012042	1.0882547550936097
Distance 9-45	1.0902943579131357	1.0923337011422658	1.0899157063318452
Distance 10-40	1.088645936432871	1.0906500166075326	1.0896396334668217
Distance 10-41	1.0877715710023403	1.09027501614968	1.0877879469091671
Distance 10-42	1.0893730485932536	1.0917608688339004	1.0893332469816572
Distance 11-15	1.4201177291704998	1.4290470880971136	1.4262047664087218
Distance 11-55	1.0854101670134617	1.084732980122866	1.0850604304577054
Distance 12-13	1.415484149506747	1.4220520992196033	1.4225711547222395
Distance 12-46	1.0829050528474415	1.0851419690552782	1.0854692638400218
Distance 13-14	1.4350099248325872	1.4376065864912198	1.437450206546763
Distance 13-15	1.4230009302221593	1.4206035892582847	1.4170670965155578
Distance 14-20	1.418494166586392	1.418715131070728	1.4192118980498902
Distance 14-24	1.403637493317033	1.403887737320698	1.403770405327684
Distance 15-16	1.4349441802820249	1.4361205626120683	1.4359855010117126
Distance 16-17	1.4041789916849892	1.4055136488784272	1.4037645739560294
Distance 16-18	1.4189193448089483	1.4195908157805277	1.4185300888156702
Distance 17-26	1.3761716544695148	1.3771441284402919	1.375885503249234
Distance 17-54	1.0819430196344229	1.082531559981741	1.0813553474507125
Distance 18-19	1.403330584551493	1.4042962853306162	1.4035735061023016
Distance 18-20	1.4576167829607327	1.4581222517841108	1.4573349351684317
Distance 19-25	1.3790580448020366	1.3799191966643882	1.3788733244134646
Distance 19-51	1.0808677531999675	1.081782154460839	1.0806178787934086
Distance 20-21	1.403644691852397	1.4045193792368538	1.4038118577787844
Distance 21-22	1.3787809548853813	1.379783399870933	1.378669084395921
Distance 21-47	1.080842981619716	1.0818028307666445	1.080433640730555
Distance 22-23	1.394129560432857	1.3945709646202782	1.3938661632217975
Distance 22-48	1.082361257589666	1.0830401213206342	1.0824365766684971
Distance 23-24	1.3762633208506119	1.3776216243156767	1.3762109486572474
Distance 23-49	1.0816843396244251	1.0826642367156858	1.0816800351060143
Distance 24-50	1.0813147526615494	1.0830822009567815	1.082200262164274
Distance 25-26	1.393968738863274	1.39502237273301	1.3941848580544187
Distance 25-52	1.0821313882445325	1.0829945564674215	1.0823933170634896
Distance 26-53	1.0816719430693886	1.082498150144166	1.0816704295483859
Distance 27-28	1.5352197134194996	1.537057783467943	1.5349043967811364
Distance 27-29	1.5317827271107314	1.5337366552774638	1.5349460269964008
Distance 27-30	1.528478309779262	1.5303376480738793	1.5272850725563383
Distance 28-62	1.0947197466795122	1.0906083715938937	1.0911415154070738
Distance 28-63	1.093285965382473	1.0897571145454805	1.0881647603224147
Distance 28-64	1.0892426245536344	1.089381163028407	1.0886648020000327
Distance 29-59	1.0873583362282113	1.0909243443182939	1.0898393737087642
Distance 29-60	1.0886947101433553	1.0899601477137022	1.098469706316601
Distance 29-61	1.088406606085701	1.089175348292537	1.0891622160111667
Distance 30-56	1.087759047291184	1.0889974815763104	1.0864086141901201
Distance 30-57	1.0886338418612291	1.089181008111136	1.0890829193953344
Distance 30-58	1.0876871001097246	1.0880278141231778	1.0866241257819729
Angle 2-1-4	2.6040781180091246	2.287289598910993	2.348487015093024
Angle 2-1-15	1.6511693317191183	1.6962358547785872	1.7081068174815561
Angle 2-1-5	2.5864498520670893	2.621006125551678	2.663069212481799
Angle 3-1-4	2.3477020868509304	1.925327657604013	1.9889630093101685
Angle 3-1-13	2.2947728273652808	2.351016870730997	2.3280892894408485
Angle 3-1-15	2.1979190862700815	2.225918991683729	2.2864166714176917
Angle 3-1-35	1.5076642750485656	1.6378158212400031	2.1130693714151247
Angle 4-1-6	1.7768435678729781	1.7386377749872972	1.1790091219869312
Angle 4-1-35	2.171572624129371	2.2907727551334838	1.62279163505847
Angle 6-1-8	1.9543968085161618	2.234168864223656	2.4273033690837527
Angle 6-1-12	1.4142978943104794	1.6239245524182881	1.801150544175601
Angle 6-1-15	1.9957826669554757	1.9781292831419928	1.6861126297030034
Angle 6-1-35	0.3967693886492329	0.5640839070665061	0.44472791436898074
Angle 8-1-12	0.6232078818276038	0.6407877632082923	0.6420537291173664
Angle 8-1-13	0.9374203077298622	0.990573986551005	1.0065229100563176
Angle 8-1-15	0.9452030614090687	0.9929278996502666	1.014107183797558
Angle 11-1-13	0.9158899171924973	0.9704135191607458	0.9934597214338885
Angle 11-1-35	2.2908904529689065	2.363201207534377	2.3252846730737553
Angle 12-1-15	0.9103575020553255	0.9618089878478788	0.987257944174024
Angle 12-1-35	1.3003794069174128	1.3217651479075996	1.4817980853908104
Angle 13-1-35	1.5915207403747107	1.550194092289811	1.3394787311812792
Angle 15-1-35	2.1103677487102113	2.0974034256199237	1.7674796794506167
Angle 5-1-8	2.595645784806296	2.7156128638920483	2.8567150491024917
Angle 5-1-12	2.457289401093062	2.4626529761102924	2.3945571074425467
Angle 1-2-8	0.8720916033315647	0.8759890918488212	0.8665484858145308
Angle 1-2-10	2.285244509365427	2.356047858932104	2.16713141937071
Angle 3-2-8	1.5318134394685705	1.5537135038799017	1.517262474826124
Angle 3-2-9	1.9805903351975667	1.9643070188345464	1.985214081995687
Angle 3-2-10	2.053750667201273	2.0825197733606897	1.996919968246732
Angle 8-2-9	1.9354291106461874	1.9116271932541418	1.9022651771550918
Angle 8-2-10	1.915489803296806	1.9413120829738626	1.9371799073640665
Angle 9-2-10	1.991855743535212	1.9653167699469658	2.0505131103820196
Angle 1-3-27	2.281799995419788	2.2960115294492858	2.242544200073161
Angle 2-3-27	2.165523057691548	2.194829426678262	2.177038016999622
Angle 1-4-5	1.4568087400259984	1.3537686889179539	1.5588413024919638
Angle 1-4-33	1.6858978327903422	1.757004405462491	2.1457524023848467
Angle 1-4-34	1.7745821243843696	1.960756933166367	1.9977783722556253
Angle 5-4-34	2.1130695749331383	2.0658629140455727	1.9072147509769144
Angle 33-4-34	2.0294490839265436	2.0315772910752883	1.8823597290213123
Angle 1-5-4	1.1877474519705646	1.1866099839037956	0.9308070231805471
Angle 1-5-31	1.9250856286123708	2.0611433831206143	2.820199292505173
Angle 1-5-32	1.7915160765253555	1.8398084850758074	1.6135076531904387
Angle 4-5-32	2.0926918014002758	2.09947315162363	1.9190945528128158
